gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.5011405000000001	0.0028976081084232247	0.49224999999999997	0.50962	121	809.31	24	135.54	11	9.42	539.82	81	0.96	0	23.243616580963135
1	7	0.4994967741935483	0.0030700923460911674	0.48004	0.50962	53	714.4408602150538	10	29.258064516129032	10	10.204301075268818	110.55913978494624	32	0.81	0.00022411346435546875	12.182348251342773
2	15	0.49846458823529405	0.004520876945887994	0.48004	0.51223	53	441.3411764705882	10	12.8	10	8.117647058823529	45.423529411764704	32	0.61	0.00021028518676757812	10.076804399490356
3	7	0.49615021505376344	0.005167391342552372	0.48004	0.5087999999999999	53	312.3763440860215	10	6.32258064516129	10	7.139784946236559	19.903225806451612	32	0.54	0.00039649009704589844	9.711372137069702
4	8	0.4952860869565219	0.005715406325949136	0.48004	0.50962	53	246.42391304347825	10	7.304347826086956	10	7.782608695652174	23.07608695652174	32	0.59	0.00045871734619140625	10.118094205856323
5	8	0.4949423913043479	0.006932796250206761	0.47019	0.50683	40	250.17391304347825	6	6.521739130434782	9	7.358695652173913	20.23913043478261	19	0.63	0.00035500526428222656	10.32091736793518
6	6	0.49450202127659576	0.008548804517615218	0.47019	0.51197	40	207.81914893617022	6	7.73404255319149	9	7.659574468085107	25.06382978723404	19	0.73	0.00038623809814453125	10.907200574874878
7	3	0.49353278350515467	0.009716460233469492	0.47019	0.50962	40	238.51546391752578	6	6.711340206185567	9	7.731958762886598	21.371134020618555	19	0.72	0.00019979476928710938	10.909667253494263
8	1	0.49151757575757576	0.011155602215466243	0.47019	0.50962	40	180.82828282828282	6	6.434343434343434	9	8.02020202020202	20.161616161616163	19	0.7	0.0003800392150878906	10.332798719406128
9	3	0.4922286597938145	0.011917211120235296	0.47019	0.51249	40	139.63917525773195	6	6.505154639175258	9	8.391752577319588	20.463917525773194	19	0.78	0.0002505779266357422	10.889225006103516
10	1	0.4932139393939395	0.012182387503656921	0.44821999999999995	0.50905	44	171.6161616161616	11	6.5353535353535355	10	8.323232323232324	20.656565656565657	35	0.85	0.00033354759216308594	11.0182523727417
11	3	0.4923586597938145	0.014059554305738589	0.44821999999999995	0.5161899999999999	44	93.79381443298969	11	7.0	10	8.68041237113402	21.824742268041238	35	0.78	0.00024366378784179688	10.752429723739624
12	9	0.49326087912087924	0.014178697350878395	0.44821999999999995	0.5124500000000001	44	64.20879120879121	11	6.791208791208791	10	8.736263736263735	21.34065934065934	35	0.79	0.00019884109497070312	9.86104702949524
13	4	0.491953125	0.015193977720938487	0.44821999999999995	0.50905	44	70.40625	11	6.0	10	8.1875	18.645833333333332	35	0.76	0.0004067420959472656	10.16776180267334
14	8	0.48959521739130435	0.01733377060000538	0.44821999999999995	0.50905	59	69.80434782608695	11	6.728260869565218	10	8.48913043478261	21.054347826086957	35	0.68	0.0001952648162841797	9.281355381011963
15	6	0.4892807446808511	0.018021292562290413	0.44821999999999995	0.50905	44	85.07446808510639	11	7.723404255319149	10	8.851063829787234	23.914893617021278	35	0.75	0.00021576881408691406	9.452287197113037
16	9	0.4861371428571428	0.019557611782881925	0.44245	0.50905	82	73.49450549450549	11	8.67032967032967	12	9.384615384615385	26.967032967032967	34	0.71	0.0003066062927246094	9.704046249389648
17	5	0.4877206315789474	0.01956834591135315	0.44245	0.52206	82	81.53684210526316	11	7.936842105263158	12	9.094736842105263	24.726315789473684	34	0.79	0.0002796649932861328	10.245335578918457
18	2	0.48832714285714285	0.01920296203767555	0.44245	0.50905	72	72.75510204081633	11	7.8979591836734695	12	9.112244897959183	24.551020408163264	34	0.82	0.0002951622009277344	9.907272338867188
19	7	0.4868024731182796	0.02231507724338659	0.42028	0.5165500000000001	76	68.90322580645162	17	8.150537634408602	12	9.193548387096774	25.29032258064516	52	0.8	0.00019311904907226562	7.14305305480957
20	4	0.4817241666666667	0.02431313343933458	0.42028	0.5337700000000001	76	98.75	17	9.229166666666666	12	9.635416666666666	28.65625	52	0.77	0.0003104209899902344	7.494968414306641
21	8	0.48249934782608683	0.025305954394875898	0.42028	0.51346	76	73.6304347826087	17	11.23913043478261	12	10.391304347826088	34.46739130434783	52	0.83	0.0002205371856689453	9.830666303634644
22	5	0.4790804210526315	0.028460992878186594	0.42028	0.52125	76	73.53684210526316	17	11.368421052631579	12	10.589473684210526	34.82105263157895	52	0.79	0.00039386749267578125	9.961605310440063
23	13	0.47639885057471254	0.03232968741472757	0.37197	0.50683	97	76.88505747126437	18	11.517241379310345	12	10.71264367816092	34.793103448275865	53	0.73	0.0002353191375732422	9.55540156364441
