gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4570	4596.4	1012	1020.8	13	13.0	3064.6	3047	1.0	0	5.31654953956604
1	0	0.5000000000000001	0.007768770695995012	0.49677419354838714	0.5225806451612903	4570	4564.6	1012	624.8	13	12.6	1883.6	3047	1.0	4.124641418457031e-05	1.8480653762817383
2	0	0.5000000000000001	0.007768770695995012	0.49677419354838714	0.5225806451612903	4570	4579.0	1012	652.1	13	13.1	1958.7	3047	1.0	2.8371810913085938e-05	1.7289996147155762
3	0	0.4961290322580646	0.0067356816186519616	0.4774193548387097	0.5032258064516129	4612	4565.8	3	622.2	4	12.2	1874.5	7	1.0	3.719329833984375e-05	1.7247955799102783
4	0	0.4909677419354839	0.008869501345075843	0.4774193548387097	0.49677419354838714	3782	4570.6	4	513.1	5	10.5	1549.4	9	0.9	4.76837158203125e-05	1.658355951309204
5	0	0.48645161290322586	0.009214746359410152	0.4774193548387097	0.49677419354838714	4611	3928.0	3	310.6	4	8.1	932.8	7	0.9	4.482269287109375e-05	1.7507669925689697
6	0	0.4825806451612903	0.011826001793434425	0.4774193548387097	0.5161290322580645	3780	3395.0	3	3.2	4	4.6	7.4	7	0.9	5.8650970458984375e-05	1.6718683242797852
7	0	0.4832258064516129	0.012393143685353903	0.4774193548387097	0.5161290322580645	3780	3394.6	3	39.1	4	7.3	107.8	7	1.0	3.62396240234375e-05	1.7161738872528076
8	0	0.48129032258064514	0.011612903225806449	0.4774193548387097	0.5161290322580645	3780	2976.8	3	3.4	4	4.5	7.8	7	0.9	4.076957702636719e-05	1.590174674987793
9	0	0.48129032258064514	0.011612903225806449	0.4774193548387097	0.5161290322580645	3780	2976.8	3	3.5	4	4.6	8.0	7	0.9	4.291534423828125e-05	1.614436388015747
10	0	0.4774193548387097	0.0	0.4774193548387097	0.4774193548387097	3780	2889.8	3	3.5	4	4.5	8.0	7	1.0	3.981590270996094e-05	1.5625247955322266
11	0	0.48258064516129034	0.012838547575569292	0.47096774193548385	0.5161290322580645	3783	3145.7	4	3.3	5	4.6	7.6	9	0.9	3.504753112792969e-05	1.586921215057373
12	0	0.48258064516129034	0.012172878880073037	0.47096774193548385	0.5161290322580645	3783	3102.6	4	3.5	5	4.7	8.0	9	1.0	4.3392181396484375e-05	1.5511322021484375
13	0	0.47677419354838707	0.001935483870967747	0.47096774193548385	0.4774193548387097	3783	3271.1	4	3.5	5	4.6	8.0	9	0.9	2.6702880859375e-05	1.5955724716186523
14	0	0.4774193548387097	0.007633651333031782	0.46451612903225803	0.49677419354838714	3781	3271.4	3	3.5	5	4.7	8.0	7	1.0	2.6464462280273438e-05	1.5599780082702637
15	0	0.47612903225806447	0.008058061933417309	0.46451612903225803	0.49677419354838714	3781	3566.5	3	5.1	5	5.0	12.7	7	0.9	3.0279159545898438e-05	1.575822353363037
16	0	0.47290322580645167	0.004131047895117978	0.46451612903225803	0.4774193548387097	3781	3609.9	3	3.6	5	4.9	8.2	7	0.7	4.315376281738281e-05	1.5734844207763672
17	0	0.4748387096774193	0.007184212081071014	0.46451612903225803	0.4903225806451613	3781	4029.4	3	3.4	5	5.1	7.7	7	0.8	2.6464462280273438e-05	1.6435205936431885
18	0	0.47677419354838707	0.013362783985295461	0.46451612903225803	0.5032258064516129	3781	4112.2	3	3.1	5	5.0	7.2	7	0.7	4.172325134277344e-05	1.6731083393096924
19	0	0.4716129032258064	0.004516129032258075	0.46451612903225803	0.4774193548387097	4615	4194.2	3	3.5	5	5.0	7.9	7	0.8	4.029273986816406e-05	1.5585978031158447
20	0	0.46967741935483864	0.004827945015192195	0.46451612903225803	0.4774193548387097	3781	4112.2	3	3.3	5	5.0	7.6	7	0.6	2.6226043701171875e-05	1.5804634094238281
