gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4624	4615.6	1030	1027.2	13	13.0	3077.4	3083	1.0	0	5.546982765197754
1	0	0.5006451612903227	0.009655890030384353	0.49677419354838714	0.5290322580645161	4624	4640.8	1030	688.4	13	14.9	2050.7	3083	1.0	3.218650817871094e-05	2.153655767440796
2	0	0.49935483870967745	0.00591300089671719	0.49677419354838714	0.5161290322580645	4624	4638.4	1030	664.8	13	14.9	1978.2	3083	1.0	4.4345855712890625e-05	2.102102279663086
3	0	0.5019354838709678	0.009481895778515515	0.49677419354838714	0.5290322580645161	4624	4681.0	1030	793.2	13	17.8	2353.4	3083	1.0	2.6464462280273438e-05	2.5375473499298096
4	0	0.49935483870967745	0.004279515858523087	0.49677419354838714	0.5096774193548388	4624	4595.2	1030	897.3	13	20.3	2654.9	3083	1.0	4.506111145019531e-05	3.5104787349700928
5	0	0.49419354838709684	0.010872451320227586	0.46451612903225803	0.5096774193548388	4528	4621.0	246	764.9	38	19.1	2278.0	675	1.0	4.6253204345703125e-05	2.383476734161377
6	0	0.49483870967741944	0.01191366794362542	0.46451612903225803	0.5161290322580645	4528	4543.6	246	617.7	38	23.6	1828.8	675	1.0	5.1021575927734375e-05	2.030609369277954
7	0	0.48193548387096785	0.031215407492652773	0.3935483870967742	0.5032258064516129	4714	4557.8	157	560.4	18	18.1	1666.8	432	1.0	4.291534423828125e-05	1.8920376300811768
8	0	0.4812903225806452	0.03254069732366063	0.3935483870967742	0.5225806451612903	4714	4601.4	157	378.2	18	18.8	1110.5	432	1.0	4.6253204345703125e-05	1.851130723953247
9	0	0.4832258064516129	0.03550732362791489	0.3935483870967742	0.5419354838709678	4714	4816.7	157	198.4	18	18.8	568.3	432	1.0	5.030632019042969e-05	1.9313628673553467
10	0	0.47935483870967743	0.03174429574230334	0.3935483870967742	0.5161290322580645	4714	4861.5	157	76.5	18	16.2	207.6	432	1.0	5.173683166503906e-05	1.7458069324493408
