gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4974193548387097	0.0019354838709677137	0.49677419354838714	0.5032258064516129	4648	4606.6	1038	1024.2	13	13.0	3071.4	3099	1.0	0	5.568099498748779
1	0	0.5000000000000001	0.005948093198253448	0.49677419354838714	0.5161290322580645	4648	4622.8	1038	621.2	13	10.4	1860.1	3099	0.9	4.38690185546875e-05	1.8148515224456787
2	0	0.5025806451612904	0.013362783985295472	0.49677419354838714	0.5419354838709678	4648	4749.4	1038	656.2	13	13.7	1959.9	3099	1.0	4.267692565917969e-05	2.128751754760742
3	0	0.49935483870967745	0.00591300089671719	0.49677419354838714	0.5161290322580645	4648	5064.5	1038	651.5	13	13.8	1947.8	3099	1.0	4.9591064453125e-05	1.7960906028747559
4	0	0.5012903225806452	0.013548387096774197	0.49677419354838714	0.5419354838709678	4648	4680.7	1038	630.8	13	12.2	1887.5	3099	1.0	4.506111145019531e-05	1.7418994903564453
5	0	0.5000000000000001	0.005948093198253448	0.49677419354838714	0.5161290322580645	4648	4747.5	1038	625.0	13	11.7	1870.7	3099	1.0	4.696846008300781e-05	1.598703145980835
6	0	0.49935483870967745	0.00591300089671719	0.49677419354838714	0.5161290322580645	4648	4607.2	1038	623.0	13	11.5	1865.5	3099	1.0	4.076957702636719e-05	1.6798927783966064
7	0	0.4961290322580646	0.0019354838709677471	0.4903225806451613	0.49677419354838714	6140	4649.1	28	636.6	15	13.2	1905.5	74	1.0	3.0994415283203125e-05	1.7460317611694336
8	0	0.49806451612903235	0.00632126385234367	0.4903225806451613	0.5161290322580645	6140	4771.4	28	564.8	15	15.3	1686.7	74	1.0	2.765655517578125e-05	1.9373793601989746
9	0	0.4974193548387097	0.004516129032258075	0.4903225806451613	0.5096774193548388	6140	4535.3	28	526.3	15	12.0	1574.6	74	1.0	3.695487976074219e-05	1.7169032096862793
10	0	0.49419354838709684	0.005913000896717228	0.4774193548387097	0.49677419354838714	4290	5005.3	18	576.7	8	15.4	1717.9	49	1.0	2.7894973754882812e-05	1.8240158557891846
11	0	0.49548387096774194	0.006948599751141289	0.4774193548387097	0.5032258064516129	4290	4633.6	18	425.4	8	11.9	1269.7	49	1.0	5.125999450683594e-05	1.5732061862945557
12	0	0.49548387096774194	0.0075238088965746	0.4774193548387097	0.5096774193548388	4290	4791.8	18	469.7	8	14.7	1398.2	49	1.0	4.0531158447265625e-05	1.7997453212738037
13	0	0.4929032258064517	0.005913000896717229	0.4774193548387097	0.49677419354838714	4290	4606.8	18	424.1	8	11.8	1266.7	49	1.0	4.267692565917969e-05	1.5787279605865479
14	0	0.4903225806451614	0.007067387838776354	0.4774193548387097	0.49677419354838714	3466	4607.4	4	222.0	6	10.5	662.0	9	1.0	5.030632019042969e-05	1.6848771572113037
15	0	0.48967741935483866	0.010967741935483872	0.4774193548387097	0.5161290322580645	4286	4071.6	4	8.9	5	7.0	23.4	8	0.9	4.57763671875e-05	1.442002296447754
16	0	0.487741935483871	0.007741935483870988	0.4774193548387097	0.49677419354838714	4286	4119.6	4	17.6	5	8.9	48.6	8	1.0	2.5033950805664062e-05	1.4961977005004883
17	0	0.48580645161290326	0.007660865862605126	0.4774193548387097	0.49677419354838714	4305	3855.6	3	8.5	5	6.9	22.8	7	1.0	4.410743713378906e-05	1.643902063369751
18	0	0.4838709677419354	0.009123958466923194	0.4774193548387097	0.5032258064516129	3462	3856.9	4	11.7	5	7.3	30.7	8	1.0	4.291534423828125e-05	1.6714515686035156
19	0	0.4832258064516129	0.012393143685353903	0.4774193548387097	0.5161290322580645	3466	3877.9	4	11.6	6	7.2	30.6	9	0.9	4.267692565917969e-05	1.5735013484954834
20	0	0.48	0.005913000896717228	0.4774193548387097	0.49677419354838714	3466	3795.6	4	6.5	6	6.4	15.7	9	0.8	4.506111145019531e-05	1.519634485244751
