gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4642	4609.0	1036	1025.0	13	13.0	3073.0	3095	1.0	0	4.83579158782959
1	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4642	4595.8	1036	680.8	13	16.3	2034.9	3095	1.0	4.363059997558594e-05	2.0330657958984375
2	0	0.49870967741935496	0.005806451612903208	0.49677419354838714	0.5161290322580645	4642	4809.2	1036	722.2	13	16.1	2152.8	3095	1.0	2.8848648071289062e-05	2.2325520515441895
3	0	0.5051612903225807	0.027531081668841103	0.4774193548387097	0.5612903225806452	6407	4382.4	3	792.1	4	19.3	2357.2	7	1.0	4.410743713378906e-05	2.683293104171753
4	0	0.48903225806451617	0.009481895778515551	0.4774193548387097	0.49677419354838714	4560	5157.6	3	529.9	4	13.0	1579.2	7	1.0	5.53131103515625e-05	1.7323975563049316
5	0	0.4812903225806452	0.007741935483870988	0.4774193548387097	0.49677419354838714	4560	4295.4	3	320.3	4	9.5	949.3	7	0.7	4.220008850097656e-05	1.6405014991760254
6	0	0.4754838709677419	0.005806451612903241	0.4580645161290322	0.4774193548387097	2191	4039.7	4	41.2	5	6.7	115.6	8	0.7	4.3392181396484375e-05	1.7424685955047607
7	0	0.47870967741935483	0.009481895778515551	0.4580645161290322	0.49677419354838714	2191	3618.3	4	70.1	5	8.2	194.2	8	0.6	4.38690185546875e-05	1.9496750831604004
8	0	0.4754838709677419	0.005806451612903241	0.4580645161290322	0.4774193548387097	2191	3375.5	4	3.5	5	4.5	7.5	8	0.8	3.24249267578125e-05	1.659210205078125
9	0	0.48	0.013594391939164828	0.4580645161290322	0.5161290322580645	2191	3138.6	4	3.1	5	4.4	6.9	8	0.8	4.0531158447265625e-05	1.7190375328063965
10	0	0.47290322580645155	0.010422899626711972	0.4580645161290322	0.4903225806451613	2193	3138.6	4	3.5	5	4.7	7.6	8	0.6	3.266334533691406e-05	1.6740832328796387
11	0	0.4716129032258064	0.008869501345075843	0.4580645161290322	0.4774193548387097	2193	2902.1	4	3.8	5	4.9	7.9	8	0.7	4.291534423828125e-05	1.6714451313018799
12	0	0.4716129032258064	0.012393143685353934	0.4580645161290322	0.49677419354838714	2191	2664.4	4	4.5	5	5.1	9.6	8	0.6	3.337860107421875e-05	1.7034707069396973
13	0	0.4703225806451613	0.014266673798384514	0.4580645161290322	0.5032258064516129	2191	2665.2	4	3.7	6	4.9	7.8	9	0.6	4.3392181396484375e-05	1.6784038543701172
