gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4600	4645.6	1022	1037.2	13	13.0	3097.4	3067	1.0	0	5.73865008354187
1	0	0.4929032258064517	0.011612903225806482	0.4580645161290322	0.49677419354838714	4359	4641.4	61	756.3	15	17.5	2250.2	169	1.0	4.863739013671875e-05	2.4736199378967285
2	0	0.4922580645161291	0.011913667943625432	0.4580645161290322	0.5032258064516129	4359	4583.2	61	545.8	15	13.2	1623.3	169	1.0	2.956390380859375e-05	1.8665592670440674
3	0	0.48967741935483877	0.012052607543399646	0.4580645161290322	0.49677419354838714	4359	4520.1	61	341.3	15	12.4	1011.3	169	1.0	4.649162292480469e-05	1.7574596405029297
4	0	0.5	0.029459225953111935	0.4580645161290322	0.567741935483871	4359	4720.3	61	294.2	15	14.4	865.2	169	1.0	5.4836273193359375e-05	1.9513981342315674
5	0	0.48903225806451617	0.016270348661830334	0.4580645161290322	0.5161290322580645	4359	4911.2	61	137.8	15	12.6	402.9	169	1.0	4.7206878662109375e-05	1.7010157108306885
6	0	0.4832258064516129	0.014266673798384514	0.4580645161290322	0.5161290322580645	4359	5685.1	61	27.9	15	9.0	76.2	169	0.9	4.9114227294921875e-05	1.6301331520080566
7	0	0.48193548387096774	0.0152809281062284	0.4580645161290322	0.5161290322580645	4359	6195.9	61	15.2	15	6.9	40.8	169	0.8	4.124641418457031e-05	1.6960148811340332
8	0	0.4838709677419355	0.016574493649890505	0.4580645161290322	0.5225806451612903	4359	5389.4	61	17.3	15	7.9	47.2	169	0.8	2.6702880859375e-05	1.6759884357452393
9	0	0.4774193548387097	0.008655747009676628	0.4580645161290322	0.49677419354838714	4359	5918.2	61	16.4	15	7.7	44.5	169	0.8	2.6941299438476562e-05	1.7030279636383057
10	0	0.47677419354838707	0.008869501345075843	0.4580645161290322	0.49677419354838714	4359	5378.2	61	15.3	15	7.1	41.5	169	0.7	4.0531158447265625e-05	1.6547880172729492
11	0	0.4780645161290322	0.01455550215829482	0.4580645161290322	0.5161290322580645	4359	5413.8	61	9.0	15	5.7	23.7	169	0.9	2.86102294921875e-05	1.6017036437988281
12	0	0.48	0.015321731725210229	0.4580645161290322	0.5161290322580645	4359	5913.7	61	8.9	15	5.6	23.4	169	0.9	4.220008850097656e-05	1.57562255859375
13	0	0.48516129032258065	0.01931178006076876	0.4580645161290322	0.5161290322580645	4359	4847.6	61	18.0	15	7.7	49.2	169	1.0	3.123283386230469e-05	1.7952449321746826
14	0	0.47870967741935483	0.014075757567271925	0.4580645161290322	0.5096774193548388	4359	5125.8	61	17.9	15	7.6	47.9	169	1.0	3.4809112548828125e-05	1.7685737609863281
15	0	0.4774193548387097	0.012903225806451623	0.4580645161290322	0.5032258064516129	4359	4848.8	61	19.8	15	7.8	53.8	169	1.0	4.124641418457031e-05	1.6676476001739502
16	0	0.48129032258064514	0.02003119315646456	0.4580645161290322	0.5161290322580645	4359	4569.5	61	18.7	15	7.9	50.9	169	0.9	4.506111145019531e-05	1.7353007793426514
17	0	0.47870967741935483	0.022311763181665292	0.4580645161290322	0.5419354838709678	4359	4282.4	61	20.1	15	8.1	54.4	169	0.9	4.38690185546875e-05	1.7498164176940918
18	0	0.47935483870967743	0.02081582684503445	0.4580645161290322	0.5290322580645161	4359	4290.8	61	16.9	15	7.9	46.3	169	0.9	4.2438507080078125e-05	1.5954210758209229
19	0	0.46967741935483864	0.0075238088965746	0.4580645161290322	0.4838709677419355	4359	4283.7	61	9.2	15	6.2	24.0	169	0.8	4.673004150390625e-05	1.5899412631988525
20	0	0.4748387096774193	0.01759765380256241	0.4580645161290322	0.5225806451612903	4359	4297.8	61	16.9	15	7.6	45.4	169	0.8	4.124641418457031e-05	1.7173211574554443
21	0	0.4748387096774193	0.015321731725210213	0.4580645161290322	0.5032258064516129	4359	4283.5	61	9.0	15	6.2	23.5	169	0.8	4.267692565917969e-05	1.6001358032226562
22	0	0.47677419354838707	0.02186896936345587	0.4580645161290322	0.5225806451612903	4359	4283.0	61	9.5	15	6.1	25.0	169	0.7	4.9114227294921875e-05	1.672945261001587
23	0	0.4774193548387097	0.0213975792926155	0.4580645161290322	0.5290322580645161	4359	4282.9	61	14.5	15	7.3	38.6	169	0.7	4.57763671875e-05	1.7605640888214111
24	0	0.4716129032258065	0.015921242166778156	0.4580645161290322	0.5161290322580645	4359	4284.6	61	12.9	15	7.3	35.3	169	0.7	2.9802322387695312e-05	1.6682138442993164
25	0	0.4754838709677419	0.016077336508873715	0.4580645161290322	0.5032258064516129	4359	4294.0	61	22.2	15	9.4	61.6	169	0.8	4.172325134277344e-05	1.6496212482452393
26	0	0.47870967741935483	0.020155483034597823	0.4580645161290322	0.5161290322580645	4359	4282.6	61	14.3	15	8.1	40.1	169	0.8	3.910064697265625e-05	1.6655409336090088
27	0	0.4716129032258065	0.014266673798384541	0.4580645161290322	0.49677419354838714	4286	4317.4	3	16.2	5	9.0	45.6	7	0.8	4.1484832763671875e-05	1.6687114238739014
28	0	0.4670967741935484	0.011248771467201768	0.4580645161290322	0.49677419354838714	4221	4304.3	3	14.9	5	8.1	40.2	7	0.7	2.6702880859375e-05	1.6756060123443604
29	0	0.46645161290322584	0.009591012095044222	0.4580645161290322	0.4903225806451613	4221	4304.9	3	17.1	5	8.6	47.4	7	0.8	3.886222839355469e-05	1.6251118183135986
30	0	0.47290322580645167	0.018259318320109574	0.4580645161290322	0.5161290322580645	4221	4303.6	3	19.3	5	9.3	53.4	7	0.8	4.363059997558594e-05	1.6861302852630615
31	0	0.47225806451612906	0.017739002690151662	0.4580645161290322	0.5032258064516129	4276	4303.1	3	19.9	5	8.5	55.7	7	0.7	3.409385681152344e-05	1.8131842613220215
32	0	0.4716129032258065	0.015389497344356871	0.4580645161290322	0.5032258064516129	4276	4270.4	3	20.4	5	8.5	56.5	7	0.8	3.647804260253906e-05	1.5971217155456543
33	0	0.4748387096774194	0.01961120535944605	0.4580645161290322	0.5096774193548388	4276	4289.7	3	18.9	5	9.0	52.1	7	0.8	3.838539123535156e-05	1.6568317413330078
34	0	0.467741935483871	0.009677419354838734	0.4580645161290322	0.4838709677419355	4276	4272.7	3	13.1	5	7.6	35.7	7	0.8	2.5033950805664062e-05	1.5541863441467285
