gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4546	4609.6	1004	1025.2	13	13.0	3073.4	3031	1.0	0	0.5948398113250732
1	0	0.49806451612903235	0.0025806451612902844	0.49677419354838714	0.5032258064516129	4546	4635.4	1004	634.5	13	11.8	1895.9	3031	1.0	4.291534423828125e-05	0.283599853515625
2	0	0.4929032258064517	0.007741935483870987	0.4774193548387097	0.49677419354838714	2011	4417.7	2	654.9	5	14.6	1951.7	4	1.0	2.7894973754882812e-05	0.2724792957305908
3	0	0.4909677419354839	0.008869501345075843	0.4774193548387097	0.49677419354838714	4625	4090.0	2	415.2	5	10.2	1244.0	4	0.9	4.315376281738281e-05	0.10215616226196289
4	0	0.4851612903225807	0.009481895778515553	0.4774193548387097	0.49677419354838714	3432	3820.2	2	310.4	5	8.7	931.2	4	0.6	2.6226043701171875e-05	0.09328937530517578
5	0	0.48516129032258065	0.01548387096774193	0.4774193548387097	0.5161290322580645	3433	2818.2	2	2.7	5	5.4	6.3	4	0.5	3.838539123535156e-05	0.08281636238098145
6	0	0.48838709677419356	0.01683611400090309	0.4774193548387097	0.5161290322580645	3433	3341.7	2	3.3	5	5.7	8.1	4	0.6	3.933906555175781e-05	0.09092545509338379
7	0	0.4774193548387097	0.0	0.4774193548387097	0.4774193548387097	3433	2841.0	2	2.0	5	5.0	4.0	4	0.4	3.743171691894531e-05	0.0877835750579834
8	0	0.48129032258064514	0.011612903225806449	0.4774193548387097	0.5161290322580645	3433	2556.7	2	1.9	5	4.9	3.9	4	0.4	4.100799560546875e-05	0.08764433860778809
9	0	0.48193548387096774	0.009146739921779239	0.4774193548387097	0.5032258064516129	3433	2841.1	2	2.7	5	5.0	5.9	4	0.5	2.6464462280273438e-05	0.08408427238464355
10	0	0.48	0.007741935483870955	0.4774193548387097	0.5032258064516129	3433	2841.1	2	2.2	5	5.0	4.5	4	0.5	3.933906555175781e-05	0.07957911491394043
11	0	0.48129032258064514	0.011612903225806449	0.4774193548387097	0.5161290322580645	3433	3244.8	2	1.9	5	4.9	3.9	4	0.3	2.384185791015625e-05	0.0898590087890625
12	0	0.4774193548387097	0.0	0.4774193548387097	0.4774193548387097	3433	3079.5	2	2.0	5	5.0	4.0	4	0.3	4.00543212890625e-05	0.08259701728820801
13	0	0.47870967741935483	0.003870967741935494	0.4774193548387097	0.4903225806451613	3433	3079.5	2	2.0	5	5.1	4.1	4	0.5	3.528594970703125e-05	0.07770299911499023
14	0	0.48129032258064514	0.011612903225806449	0.4774193548387097	0.5161290322580645	3433	2983.2	2	1.9	5	4.9	3.9	4	0.5	2.5272369384765625e-05	0.07635641098022461
15	0	0.4838709677419355	0.013221871956076893	0.4774193548387097	0.5161290322580645	3433	2983.1	2	1.8	5	4.8	3.8	4	0.4	2.5510787963867188e-05	0.08278846740722656
16	0	0.4748387096774193	0.007741935483870954	0.4516129032258065	0.4774193548387097	2013	2841.4	2	2.0	5	5.0	4.1	5	0.4	2.5510787963867188e-05	0.08360099792480469
17	0	0.47870967741935483	0.01182600179343443	0.4516129032258065	0.49677419354838714	2013	2841.6	2	2.5	5	5.2	5.7	5	0.5	3.8623809814453125e-05	0.08916091918945312
18	0	0.4774193548387097	0.01154099601290212	0.4516129032258065	0.5032258064516129	2013	2700.1	2	2.0	5	5.0	4.2	5	0.5	2.7894973754882812e-05	0.08828282356262207
19	0	0.4774193548387097	0.01154099601290212	0.4516129032258065	0.5032258064516129	2013	2984.2	2	2.2	5	5.0	4.6	5	0.7	4.076957702636719e-05	0.0895073413848877
20	0	0.4741935483870968	0.01265897862603134	0.4516129032258065	0.49677419354838714	3434	2699.8	2	3.2	5	5.3	7.2	5	0.6	4.124641418457031e-05	0.09756112098693848
21	0	0.47806451612903234	0.018798454560430257	0.4516129032258065	0.5161290322580645	3434	2864.8	2	1.9	5	4.9	4.3	5	0.7	2.47955322265625e-05	0.10105633735656738
22	0	0.47225806451612906	0.018202239973762413	0.4516129032258065	0.5161290322580645	2013	3006.8	2	1.9	5	4.9	4.5	5	0.6	2.7418136596679688e-05	0.08720088005065918
23	0	0.4670967741935484	0.019611205359445997	0.4516129032258065	0.5161290322580645	3435	3007.0	2	1.9	5	4.9	4.6	5	0.6	4.1961669921875e-05	0.08181118965148926
24	0	0.46258064516129027	0.013237602921731078	0.4516129032258065	0.4903225806451613	3435	3007.8	2	65.8	5	6.1	198.4	5	0.6	3.719329833984375e-05	0.12263965606689453
25	0	0.4638709677419356	0.01835027439139081	0.4516129032258065	0.5032258064516129	3435	3007.9	2	65.8	5	6.1	198.3	5	0.6	2.4080276489257812e-05	0.06644773483276367
26	0	0.45999999999999996	0.016836114000903082	0.4516129032258065	0.49677419354838714	3435	2865.9	2	2.1	5	5.1	5.2	5	0.4	5.602836608886719e-05	0.08866262435913086
27	0	0.46709677419354845	0.02201125433449286	0.4516129032258065	0.5161290322580645	3435	3150.3	2	65.1	5	5.8	196.3	5	0.6	3.8623809814453125e-05	0.11937546730041504
28	0	0.46580645161290324	0.021744902640455106	0.4516129032258065	0.5032258064516129	3435	3292.5	2	66.7	5	6.2	200.9	5	0.6	2.574920654296875e-05	0.12011528015136719
29	0	0.46580645161290324	0.02193548387096771	0.4516129032258065	0.5032258064516129	3435	3292.4	2	2.0	5	5.0	5.0	5	0.5	2.4318695068359375e-05	0.0698091983795166
30	0	0.4580645161290322	0.019354838709677403	0.4516129032258065	0.5161290322580645	3435	2866.0	2	2.1	5	5.1	5.3	5	0.3	2.2649765014648438e-05	0.07456803321838379
31	0	0.4606451612903227	0.020031193156464528	0.4516129032258065	0.5161290322580645	3435	3150.2	2	1.9	5	4.9	4.8	5	0.4	2.6464462280273438e-05	0.07092428207397461
32	0	0.4664516129032258	0.023448750768240306	0.4516129032258065	0.5161290322580645	3435	3150.2	2	2.1	5	5.3	5.3	5	0.5	5.364418029785156e-05	0.08063507080078125
33	0	0.4664516129032258	0.021211977061643333	0.4516129032258065	0.5161290322580645	3435	3292.5	2	2.1	5	5.2	5.2	5	0.6	6.794929504394531e-05	0.09191274642944336
