gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4642	4609.0	1036	1025.0	13	13.0	3073.0	3095	1.0	0	0.6483688354492188
1	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4642	4595.8	1036	680.8	13	16.3	2034.9	3095	1.0	3.3855438232421875e-05	0.3498091697692871
2	0	0.49870967741935496	0.005806451612903208	0.49677419354838714	0.5161290322580645	4642	4809.2	1036	722.2	13	16.1	2152.8	3095	1.0	4.1961669921875e-05	0.2830350399017334
3	0	0.5051612903225807	0.027531081668841103	0.4774193548387097	0.5612903225806452	6407	4382.4	3	792.1	4	19.3	2357.2	7	1.0	4.291534423828125e-05	0.48560523986816406
4	0	0.48903225806451617	0.009481895778515551	0.4774193548387097	0.49677419354838714	4560	5157.6	3	529.9	4	13.0	1579.2	7	1.0	4.8160552978515625e-05	0.16034245491027832
5	0	0.4812903225806452	0.007741935483870988	0.4774193548387097	0.49677419354838714	4560	4295.4	3	320.3	4	9.5	949.3	7	0.7	3.361701965332031e-05	0.09319281578063965
6	0	0.4754838709677419	0.005806451612903241	0.4580645161290322	0.4774193548387097	2191	4039.7	4	41.2	5	6.7	115.6	8	0.7	4.2438507080078125e-05	0.1451711654663086
7	0	0.47870967741935483	0.009481895778515551	0.4580645161290322	0.49677419354838714	2191	3618.3	4	70.1	5	8.2	194.2	8	0.6	3.743171691894531e-05	0.1633610725402832
8	0	0.4754838709677419	0.005806451612903241	0.4580645161290322	0.4774193548387097	2191	3375.5	4	3.5	5	4.5	7.5	8	0.8	3.9577484130859375e-05	0.08514976501464844
9	0	0.48	0.013594391939164828	0.4580645161290322	0.5161290322580645	2191	3138.6	4	3.1	5	4.4	6.9	8	0.8	3.814697265625e-05	0.10374903678894043
10	0	0.47290322580645155	0.010422899626711972	0.4580645161290322	0.4903225806451613	2193	3138.6	4	3.5	5	4.7	7.6	8	0.6	3.886222839355469e-05	0.09679055213928223
11	0	0.4716129032258064	0.008869501345075843	0.4580645161290322	0.4774193548387097	2193	2902.1	4	3.8	5	4.9	7.9	8	0.7	4.076957702636719e-05	0.09388232231140137
12	0	0.4716129032258064	0.012393143685353934	0.4580645161290322	0.49677419354838714	2191	2664.4	4	4.5	5	5.1	9.6	8	0.6	3.743171691894531e-05	0.09157133102416992
13	0	0.4703225806451613	0.014266673798384514	0.4580645161290322	0.5032258064516129	2191	2665.2	4	3.7	6	4.9	7.8	9	0.6	4.267692565917969e-05	0.10354137420654297
14	0	0.46451612903225803	0.01413477567755268	0.4580645161290322	0.5032258064516129	2191	2427.9	4	3.8	5	4.9	7.9	8	0.4	4.3392181396484375e-05	0.09548020362854004
15	0	0.46838709677419355	0.014483835045576559	0.4580645161290322	0.5032258064516129	2191	2191.2	4	3.9	5	5.2	8.1	8	0.6	4.673004150390625e-05	0.09370112419128418
16	0	0.4716129032258064	0.018122028264758897	0.4580645161290322	0.5032258064516129	2191	2191.0	4	3.8	5	5.2	8.0	8	0.6	4.291534423828125e-05	0.0896458625793457
17	0	0.4670967741935484	0.011612903225806482	0.4580645161290322	0.4903225806451613	2191	2191.0	4	3.8	5	5.1	7.8	8	0.6	2.86102294921875e-05	0.08272910118103027
18	0	0.4664516129032258	0.014440664055225424	0.4580645161290322	0.5032258064516129	2191	2190.8	4	3.9	5	5.1	8.0	8	0.5	3.5762786865234375e-05	0.09065413475036621
19	0	0.47354838709677416	0.02257142668972376	0.4580645161290322	0.5161290322580645	2191	2191.0	4	3.4	5	4.9	7.2	8	0.5	4.673004150390625e-05	0.10358476638793945
20	0	0.4677419354838709	0.012983620514514942	0.4580645161290322	0.49677419354838714	2191	2191.2	4	3.9	5	5.1	8.0	8	0.6	2.4318695068359375e-05	0.10426449775695801
21	0	0.4677419354838709	0.01586886951774046	0.4580645161290322	0.5032258064516129	2191	2191.4	4	3.9	5	5.2	8.1	8	0.5	3.3855438232421875e-05	0.10271501541137695
22	0	0.46967741935483864	0.015750394342882213	0.4580645161290322	0.5032258064516129	2191	2191.4	4	3.9	5	5.1	8.1	8	0.6	4.291534423828125e-05	0.09869003295898438
23	0	0.4658064516129031	0.009911155803701456	0.4580645161290322	0.4838709677419355	2191	2191.0	4	4.8	5	5.4	10.4	8	0.6	3.552436828613281e-05	0.11089801788330078
24	0	0.46451612903225803	0.012903225806451646	0.4580645161290322	0.4903225806451613	2191	2191.0	4	4.0	5	5.2	8.3	8	0.4	3.981590270996094e-05	0.10159897804260254
25	0	0.4625806451612903	0.011559014753012234	0.4580645161290322	0.49677419354838714	2191	2191.0	4	4.0	5	5.4	8.4	8	0.4	2.6226043701171875e-05	0.0981447696685791
26	0	0.46838709677419355	0.013594391939164858	0.4580645161290322	0.49677419354838714	2191	2191.5	4	4.3	5	5.5	9.2	8	0.6	2.6464462280273438e-05	0.10009288787841797
27	0	0.46516129032258063	0.011340900536288381	0.4580645161290322	0.4903225806451613	2191	2191.2	4	4.0	5	5.3	8.3	8	0.6	3.9577484130859375e-05	0.09317541122436523
28	0	0.46451612903225803	0.009994795732148199	0.4580645161290322	0.4838709677419355	2191	2192.0	4	4.0	5	5.3	8.4	8	0.5	2.7179718017578125e-05	0.09882259368896484
29	0	0.4703225806451612	0.020695503138510256	0.4580645161290322	0.5161290322580645	2191	2191.4	4	4.2	5	5.3	9.1	8	0.5	4.076957702636719e-05	0.09573054313659668
30	0	0.4670967741935484	0.015047617793149174	0.4580645161290322	0.5032258064516129	2191	2191.0	4	3.9	5	5.2	8.1	8	0.5	4.363059997558594e-05	0.09564471244812012
31	0	0.4580645161290322	0.0	0.4580645161290322	0.4580645161290322	2191	2191.0	4	4.0	5	5.1	8.1	8	0.2	3.910064697265625e-05	0.09200429916381836
32	0	0.46387096774193537	0.008869501345075843	0.4580645161290322	0.4774193548387097	2191	2191.0	4	4.4	5	5.3	9.3	8	0.5	3.62396240234375e-05	0.09659719467163086
33	0	0.4677419354838709	0.016637157365455044	0.4580645161290322	0.5096774193548388	2191	2190.8	4	4.0	5	5.3	8.3	8	0.5	4.0531158447265625e-05	0.08989572525024414
34	0	0.46387096774193537	0.012393143685353934	0.4580645161290322	0.49677419354838714	2191	2191.2	4	4.0	5	5.4	8.4	8	0.4	4.410743713378906e-05	0.09122204780578613
35	0	0.4709677419354839	0.01682374814245847	0.4580645161290322	0.5032258064516129	2191	2190.8	4	3.9	5	5.1	8.1	8	0.6	4.363059997558594e-05	0.10124087333679199
