gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.49555400000000005	0.0025906531994846454	0.4907	0.5057	7	805.22	2	134.87	6	9.06	537.11	5	0.9	0	11.799712896347046
1	6	0.49560106382978725	0.005309776103803387	0.4907	0.5385	7	798.0531914893617	2	37.723404255319146	6	9.904255319148936	145.30851063829786	5	0.77	0.000179290771484375	5.334987163543701
2	13	0.4947885057471266	0.0037566010954314683	0.4907	0.5076	7	461.7011494252874	2	9.448275862068966	6	7.068965517241379	33.793103448275865	5	0.53	0.0001938343048095703	3.3077311515808105
3	14	0.493363953488372	0.003435109855414653	0.47340000000000004	0.5057	25	383.6046511627907	4	3.2906976744186047	7	6.0	10.255813953488373	11	0.46	0.00019550323486328125	2.828097105026245
4	12	0.49244999999999983	0.005123098316803645	0.4597	0.5057	21	350.53409090909093	4	2.3068181818181817	7	5.840909090909091	6.454545454545454	11	0.44	0.00018858909606933594	2.931704044342041
5	4	0.4915979166666666	0.008051720561038834	0.4597	0.5087999999999999	15	288.0625	4	2.1770833333333335	7	5.90625	5.71875	11	0.39	0.0001876354217529297	3.324141263961792
6	1	0.48950505050505044	0.01075048858403324	0.4597	0.5093	21	173.7070707070707	4	2.4343434343434343	7	6.101010101010101	6.434343434343434	11	0.38	0.0001971721649169922	3.314413547515869
7	7	0.48716451612903217	0.013614774115946048	0.4597	0.508	21	62.96774193548387	4	2.89247311827957	7	6.376344086021505	7.67741935483871	11	0.47	0.0001964569091796875	2.992974042892456
8	8	0.48369673913043465	0.014940814039045479	0.4597	0.5074000000000001	21	93.98913043478261	4	3.25	7	6.586956521739131	8.847826086956522	11	0.53	0.0001926422119140625	2.760073661804199
9	7	0.47912365591397843	0.01658977789846249	0.4597	0.5093	21	63.60215053763441	4	3.5161290322580645	7	6.741935483870968	9.526881720430108	11	0.49	0.00030040740966796875	2.3238394260406494
10	12	0.4820920454545453	0.018243107176478444	0.4597	0.509	21	51.22727272727273	4	3.875	7	6.954545454545454	10.670454545454545	11	0.55	0.00019431114196777344	2.356109619140625
11	5	0.4819147368421052	0.01816186269383445	0.45509999999999995	0.5155000000000001	17	52.17894736842105	4	4.0	7	7.021052631578947	10.894736842105264	11	0.57	0.00018858909606933594	2.360605001449585
12	10	0.4798322222222221	0.018727239980412244	0.45509999999999995	0.5049	17	40.266666666666666	4	4.0777777777777775	7	7.066666666666666	11.21111111111111	11	0.52	0.000194549560546875	2.188509702682495
13	11	0.47942696629213477	0.019500756332465417	0.45509999999999995	0.5109	17	45.53932584269663	4	3.955056179775281	7	7.01123595505618	10.831460674157304	11	0.48	0.0001952648162841797	2.1350884437561035
14	12	0.48047272727272733	0.018748434645401543	0.45509999999999995	0.5074000000000001	17	80.56818181818181	4	3.9318181818181817	7	6.954545454545454	10.784090909090908	11	0.48	0.0001919269561767578	2.234835624694824
15	9	0.4784406593406593	0.018480372588068717	0.45509999999999995	0.5049	17	98.52747252747253	4	4.142857142857143	7	7.021978021978022	11.263736263736265	11	0.54	0.00018334388732910156	2.248091697692871
16	13	0.4737402298850575	0.018634219293621766	0.45509999999999995	0.5049	17	81.48275862068965	4	4.068965517241379	7	7.0344827586206895	11.149425287356323	11	0.42	0.000354766845703125	2.1053850650787354
17	10	0.4719055555555555	0.019546016139192685	0.45509999999999995	0.5049	17	58.96666666666667	4	3.9555555555555557	7	6.944444444444445	10.744444444444444	11	0.37	0.00019741058349609375	2.176372528076172
18	14	0.4717511627906977	0.01932404661859638	0.4484	0.5049	17	47.86046511627907	4	3.953488372093023	7	6.965116279069767	10.825581395348838	11	0.4	0.00019240379333496094	2.2298693656921387
19	21	0.47223291139240503	0.01922408643131662	0.4484	0.5049	17	73.9113924050633	4	4.2025316455696204	7	7.050632911392405	11.430379746835444	11	0.36	0.0003101825714111328	2.365579128265381
20	14	0.47332558139534886	0.020822869728540014	0.4484	0.5095000000000001	17	48.68604651162791	4	4.093023255813954	7	7.058139534883721	11.220930232558139	11	0.39	0.00020432472229003906	2.222198009490967
21	20	0.470115	0.020260325145465975	0.4484	0.5049	17	74.6125	4	4.0625	7	7.025	11.1	11	0.31	0.00019669532775878906	2.0419819355010986
22	16	0.4760345238095237	0.021519534282266065	0.4484	0.5049	17	64.35714285714286	4	4.214285714285714	7	7.0476190476190474	11.452380952380953	11	0.44	0.0003902912139892578	2.2421300411224365
23	21	0.4744101265822784	0.02146221640221181	0.4484	0.5049	17	74.54430379746836	4	3.962025316455696	7	6.974683544303797	10.79746835443038	11	0.42	0.0002040863037109375	2.0710601806640625
24	17	0.46758795180722884	0.021575590835508817	0.4484	0.5049	17	57.1566265060241	4	3.891566265060241	7	6.951807228915663	10.626506024096386	11	0.32	0.00020360946655273438	2.0802602767944336
25	15	0.4692623529411764	0.0231471353911582	0.4484	0.5049	17	26.36470588235294	4	4.0	7	7.0	10.929411764705883	11	0.33	0.00020122528076171875	2.042585611343384
26	20	0.47029999999999994	0.022222657356850906	0.4484	0.5125	17	19.4125	4	4.0	7	6.9625	10.85	11	0.34	0.00019598007202148438	1.9607980251312256
27	19	0.4708444444444444	0.021712265407732148	0.4484	0.5049	17	18.419753086419753	4	3.9382716049382718	7	6.938271604938271	10.728395061728396	11	0.32	0.00020742416381835938	2.149202346801758
28	15	0.46348235294117646	0.019892784245849116	0.44610000000000005	0.5002	17	19.058823529411764	4	3.976470588235294	7	6.988235294117647	10.894117647058824	11	0.33	0.0004494190216064453	2.0840187072753906
29	25	0.46674800000000005	0.02201059357067258	0.44610000000000005	0.5098	35	19.92	4	4.0	7	7.0	10.946666666666667	11	0.33	0.0003924369812011719	2.2252938747406006
30	16	0.4700333333333333	0.023173832396401493	0.44610000000000005	0.5002	35	20.404761904761905	4	3.9285714285714284	7	6.928571428571429	10.595238095238095	11	0.37	0.0002753734588623047	2.2100424766540527
31	16	0.46861309523809525	0.022914654178795416	0.44610000000000005	0.5005	35	22.571428571428573	4	4.071428571428571	7	7.023809523809524	11.05952380952381	11	0.39	0.0004100799560546875	2.187307596206665
32	15	0.4664011764705883	0.022282974213340256	0.44610000000000005	0.5049	35	24.658823529411766	4	4.152941176470589	7	7.047058823529412	11.24705882352941	11	0.39	0.0001957416534423828	2.0860962867736816
33	10	0.46729222222222233	0.02275945336083338	0.44610000000000005	0.5049	35	26.033333333333335	4	4.2	7	7.0777777777777775	11.377777777777778	11	0.4	0.0001976490020751953	2.154242992401123
34	9	0.4660043956043957	0.02343861241855483	0.44610000000000005	0.5049	35	27.318681318681318	4	4.3076923076923075	7	7.131868131868132	11.692307692307692	11	0.4	0.0001933574676513672	2.0486955642700195
35	9	0.46593956043956053	0.023749993078638083	0.44610000000000005	0.5049	35	28.736263736263737	4	4.065934065934066	7	7.043956043956044	11.12087912087912	11	0.37	0.00019288063049316406	2.028371572494507
36	4	0.4715989583333335	0.02377339415708794	0.44610000000000005	0.5049	35	29.875	4	4.104166666666667	7	7.03125	11.15625	11	0.46	0.00028252601623535156	2.2373437881469727
37	6	0.4679638297872341	0.02298492499056915	0.44610000000000005	0.5049	35	31.680851063829788	4	4.191489361702128	7	7.095744680851064	11.46808510638298	11	0.45	0.00019693374633789062	2.2696151733398438
38	9	0.46939890109890114	0.02361760143819677	0.44610000000000005	0.5077	35	32.57142857142857	4	4.318681318681318	7	7.153846153846154	11.747252747252746	11	0.47	0.00019407272338867188	2.2759032249450684
39	4	0.4739947916666667	0.023697746771368995	0.44610000000000005	0.5049	35	33.5	4	4.291666666666667	7	7.104166666666667	11.614583333333334	11	0.58	0.00019669532775878906	2.377803087234497
