gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.49660200000000004	0.003284660713072215	0.4927	0.514	4	806.96	1	135.23	4	9.21	538.24	3	0.92	0	10.23454737663269
1	6	0.49584468085106376	0.002952842734940839	0.4918	0.5065	1334	1122.0744680851064	3	49.308510638297875	6	11.73404255319149	189.62765957446808	11	0.85	0.00017642974853515625	5.36894154548645
2	9	0.49485274725274725	0.003218263153834313	0.4757	0.5049	2139	1074.5714285714287	67	36.637362637362635	14	11.197802197802197	137.52747252747253	257	0.73	0.00018310546875	4.591558456420898
3	11	0.49575730337078633	0.00567590783988276	0.4757	0.5262	2139	970.0449438202247	67	18.831460674157302	14	8.853932584269662	68.08988764044943	257	0.65	0.0003457069396972656	3.289108991622925
4	6	0.4944361702127659	0.0036467954765277634	0.4757	0.5057	2139	966.7446808510638	67	10.48936170212766	14	7.382978723404255	37.840425531914896	257	0.6	0.0001785755157470703	2.7715373039245605
5	3	0.49372577319587635	0.0033938172514425026	0.4757	0.5085	2139	1127.0309278350514	67	9.268041237113403	14	7.185567010309279	33.824742268041234	257	0.57	0.00019431114196777344	2.844223737716675
6	2	0.4934744897959184	0.00396160942414667	0.4757	0.5089	2139	1129.265306122449	67	10.224489795918368	14	7.418367346938775	37.03061224489796	257	0.68	0.0001742839813232422	2.9462387561798096
7	4	0.49327291666666656	0.004793299993364585	0.4757	0.5178	2139	1185.4270833333333	67	8.864583333333334	14	7.166666666666667	31.53125	257	0.64	0.00017786026000976562	2.8279261589050293
8	0	0.493298	0.005072553203269538	0.4757	0.5137	2139	1267.34	67	10.3	14	7.73	36.54	257	0.74	0.0001747608184814453	2.917907238006592
9	1	0.4938111111111111	0.007283368197529602	0.4757	0.5213	2139	1303.858585858586	67	13.04040404040404	14	8.01010101010101	46.90909090909091	257	0.74	0.0001804828643798828	2.926755666732788
10	0	0.49324199999999996	0.005471291986359347	0.4757	0.5101	2139	1302.25	67	13.55	14	7.74	49.27	257	0.77	0.00017905235290527344	3.3656039237976074
11	0	0.49285199999999996	0.005719361502825297	0.4757	0.5138	2139	1265.36	67	12.92	14	8.22	46.09	257	0.69	0.0001723766326904297	3.091012477874756
12	0	0.49332	0.005673834682117555	0.4757	0.5109	2139	1186.16	67	9.66	14	7.29	34.43	257	0.7	0.00017571449279785156	3.110213279724121
