gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.49609200000000003	0.0027485516185802405	0.4918	0.5057	7	812.71	2	136.21	6	9.48	542.09	5	0.96	0	4.862673759460449
1	10	0.4953722222222222	0.0023220693729601406	0.4908	0.5049	1378	941.4888888888889	4	40.388888888888886	7	10.777777777777779	155.2111111111111	10	0.78	0.00019359588623046875	1.8601772785186768
2	14	0.4949662790697673	0.003515335521553641	0.4831	0.5057	1248	737.1860465116279	15	20.162790697674417	10	8.546511627906977	74.73255813953489	52	0.6	0.00017952919006347656	1.0262441635131836
3	9	0.4935912087912088	0.00420631781108309	0.4831	0.5178	1248	656.2087912087912	15	8.197802197802197	10	6.835164835164835	28.835164835164836	52	0.5	0.000179290771484375	0.7348623275756836
4	8	0.4928260869565218	0.0039182368918002745	0.4831	0.5057	1248	806.054347826087	15	3.489130434782609	10	6.326086956521739	10.673913043478262	52	0.53	0.00017642974853515625	0.6009037494659424
5	6	0.49198297872340413	0.006990900442686002	0.4403	0.5091	1248	763.6595744680851	13	3.4468085106382977	11	6.308510638297872	10.351063829787234	37	0.5	0.00021123886108398438	0.640733003616333
6	1	0.4920616161616161	0.007657487351575376	0.4403	0.5054000000000001	1248	791.040404040404	13	3.707070707070707	11	6.444444444444445	11.030303030303031	37	0.45	0.00019359588623046875	0.6752958297729492
7	5	0.49008947368421046	0.01062998216252611	0.4403	0.5087999999999999	1248	755.8736842105263	13	4.3578947368421055	11	6.610526315789474	13.694736842105263	37	0.41	0.00020503997802734375	0.6464385986328125
8	6	0.48636702127659587	0.01558944261076838	0.41100000000000003	0.5054000000000001	1295	803.6063829787234	15	4.946808510638298	10	7.042553191489362	15.180851063829786	48	0.44	0.0001804828643798828	0.6028244495391846
9	7	0.4810763440860215	0.023506710997141005	0.41100000000000003	0.5091	1295	968.0860215053764	15	7.537634408602151	10	8.096774193548388	23.978494623655912	48	0.6	0.00018215179443359375	0.7233960628509521
10	3	0.47832268041237114	0.028641867938403672	0.36329999999999996	0.5057	1295	1103.0	15	8.597938144329897	10	8.690721649484535	27.103092783505154	48	0.76	0.00017762184143066406	0.7415118217468262
