gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.49633099999999997	0.0026836055969534788	0.4907	0.5057	7	809.31	2	135.54	6	9.42	539.82	5	0.96	0	4.839548826217651
1	7	0.49664516129032255	0.005104404931543764	0.4907	0.5256000000000001	7	1037.010752688172	2	51.88172043010753	6	11.591397849462366	198.8709677419355	5	0.83	0.00017404556274414062	2.2204012870788574
2	13	0.4948413793103448	0.004531614406807541	0.4907	0.524	1484	819.5862068965517	2	24.275862068965516	6	9.39080459770115	91.34482758620689	5	0.6	0.0001773834228515625	1.1875271797180176
3	5	0.49428315789473676	0.003232813753457339	0.4907	0.5055000000000001	1484	776.4105263157895	2	18.221052631578946	6	7.347368421052631	66.10526315789474	5	0.54	0.00018405914306640625	1.1292741298675537
4	4	0.4940437499999999	0.003183021772493339	0.4897	0.5048	1528	710.34375	2	5.09375	6	6.3125	17.083333333333332	5	0.54	0.00017690658569335938	0.7086975574493408
5	2	0.49267040816326524	0.0025381259832545962	0.4897	0.5049	1528	746.8775510204082	2	2.142857142857143	6	5.744897959183674	5.622448979591836	5	0.35	0.0001773834228515625	0.5918924808502197
6	0	0.4918229999999999	0.001994485146597988	0.4897	0.49960000000000004	1528	999.95	2	1.96	6	5.8	4.87	5	0.27	0.00019502639770507812	0.6047072410583496
7	1	0.49294141414141424	0.0037739139209887005	0.48960000000000004	0.5057	1483	1133.858585858586	2	1.9090909090909092	6	5.818181818181818	4.797979797979798	5	0.31	0.0001735687255859375	0.6099579334259033
8	0	0.492482	0.0035802620015859144	0.48960000000000004	0.5114000000000001	1483	1217.75	2	1.88	6	5.76	4.79	5	0.3	0.00018095970153808594	0.6143107414245605
9	0	0.4915580000000002	0.003238184059005906	0.48960000000000004	0.5049	1483	1311.16	2	1.96	6	5.87	4.93	5	0.27	0.0001773834228515625	0.6137120723724365
10	0	0.4915740000000002	0.0034905478080094953	0.48960000000000004	0.5087999999999999	1483	1401.95	2	1.93	6	5.87	4.88	5	0.28	0.00020313262939453125	0.6279091835021973
11	0	0.4921110000000002	0.0042873510469752674	0.48960000000000004	0.5114000000000001	1483	1435.91	2	1.95	6	5.78	4.88	5	0.32	0.00017404556274414062	0.6380338668823242
12	0	0.4925010000000002	0.004223375308920566	0.48960000000000004	0.5114000000000001	1483	1460.89	2	1.89	6	5.66	4.76	5	0.31	0.0001735687255859375	0.685145378112793
13	0	0.4933700000000002	0.004532140774512617	0.48960000000000004	0.5087999999999999	1483	1487.34	2	1.91	6	5.7	4.82	5	0.34	0.00017905235290527344	0.6564040184020996
14	0	0.4920260000000002	0.003385162329933369	0.48960000000000004	0.5017	1483	1486.62	2	1.91	6	5.71	4.86	5	0.31	0.00017309188842773438	0.6611082553863525
15	0	0.49217100000000014	0.003773600270298889	0.48960000000000004	0.5087999999999999	1483	1486.43	2	1.97	6	5.74	4.91	5	0.31	0.00017762184143066406	0.6471309661865234
16	0	0.4920210000000002	0.0035954497632424056	0.48960000000000004	0.5087999999999999	1483	1485.84	2	1.96	6	5.83	4.93	5	0.32	0.0001811981201171875	0.6431820392608643
17	0	0.49206700000000014	0.003690015040619736	0.48960000000000004	0.5087999999999999	1483	1486.34	2	1.95	6	5.78	4.96	5	0.3	0.0001933574676513672	0.6635634899139404
18	0	0.49225300000000016	0.004216099026351234	0.48960000000000004	0.5087999999999999	1483	1487.69	2	1.93	6	5.73	4.9	5	0.22	0.00017261505126953125	0.587609052658081
19	0	0.4913750000000002	0.0028337386964926554	0.48960000000000004	0.5003	1483	1487.44	2	1.9	6	5.76	4.8	5	0.21	0.00017690658569335938	0.5962188243865967
20	0	0.49208100000000016	0.003609811490923023	0.48960000000000004	0.5049	1483	1486.51	2	1.89	6	5.73	4.79	5	0.23	0.00018477439880371094	0.6211109161376953
21	0	0.49245700000000014	0.003955584786096718	0.48960000000000004	0.5087999999999999	1483	1484.64	2	2.07	6	5.68	5.53	5	0.27	0.0001723766326904297	0.6358764171600342
22	0	0.4918850000000002	0.0034001874948302317	0.48960000000000004	0.5017	1483	1485.31	2	1.97	6	5.77	4.96	5	0.24	0.00018978118896484375	0.6796464920043945
23	0	0.49201000000000017	0.0036604781108483474	0.48960000000000004	0.5087999999999999	1483	1485.28	2	1.93	6	5.76	4.88	5	0.29	0.0001823902130126953	0.6385869979858398
24	0	0.49241700000000016	0.004026513504261455	0.48960000000000004	0.5087999999999999	1483	1484.72	2	1.91	6	5.63	4.89	5	0.27	0.00017976760864257812	0.67055344581604
25	0	0.4921960000000002	0.0033413745674497285	0.48960000000000004	0.5045	1483	1485.4	2	1.94	6	5.64	4.95	5	0.26	0.0001838207244873047	0.6341969966888428
26	0	0.49203700000000017	0.003627551653663925	0.48960000000000004	0.5087999999999999	1483	1486.09	2	2.07	6	5.77	5.49	5	0.22	0.00017571449279785156	0.6281065940856934
